FAMID,cbmom_1,cbmom_2,cbmom_3,cbmom_4,cbmom_5,cbdad_1,cbdad_2,cbdad_3,cbdad_4,cbdad_5,DID31_21,DID15_21,DID27_21,DID33_21,LDS01_21,LDS02_21,LDS03_21,LDS04_21,LDS05_21,LDS06_21,LDS07_21,LDS08_21,LDS09_21,LDS10_21,LDS11_21,LDS12_21,LDS13_21,LDS14_21,LDS15_21,PSS01R_21,PSS02_21,PSS03_21,PSS04R_21,SEX2,purpose_21,stress_21,lifesat_21,MEDUC2,MPEDUC2
1033,NA,NA,NA,4,3,NA,NA,NA,3,3,5,3,3,3,5,4,0,4,5,0,5,5,5,5,5,4,5,1,5,4,5,3,5,1,3.5,4.25,3.866666667,3,2
1034,NA,NA,NA,NA,4,NA,NA,NA,NA,1,4,3,3,2,3,5,0,3,2,4,5,5,4,5,5,5,5,5,2,4,5,3,4,2,3,4,3.866666667,5,1
1035,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2
1036,1,1,1,1,2,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,5,4.5,5,5,2
1037,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3
1038,NA,NA,NA,NA,3,NA,NA,NA,NA,3,3,3,3,3,5,5,4,3,5,5,4,3,4,5,4,5,4,3,4,4,4,3,3,2,3,3.5,4.2,3,5
1039,3,0,0,2,3,2,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA
1040,0,NA,NA,0,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,1,NA,NA,2,0,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
1042,NA,NA,0,2,3,NA,NA,0,2,3,4,4,3,4,5,5,4,4,5,4,5,5,4,5,4,4,5,3,3,4,5,4,4,2,3.75,4.25,4.333333333,4,4
1043,NA,NA,0,1,2,NA,NA,0,0,1,4,4,4,3,4,4,4,4,2,5,4,4,5,5,4,4,2,4,2,3,4,4,4,2,3.75,3.75,3.8,7,7
1044,0,NA,0,1,4,2,NA,0,0,4,4,5,4,3,5,0,5,0,4,5,5,0,5,0,5,5,0,4,4,5,1,1,5,NA,4,3,3.133333333,2,3
1045,NA,NA,1,4,2,NA,NA,0,2,1,4,4,4,3,5,5,4,4,4,3,4,4,4,4,4,0,4,2,3,3,3,3,4,2,3.75,3.25,3.6,4,6
1046,NA,NA,0,2,1,NA,NA,0,1,1,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,2,4,2,2,3,5,3,4,2,5,3.75,3.866666667,7,7
1047,NA,NA,1,0,0,NA,NA,1,0,0,3,3,3,3,5,5,3,3,3,5,3,5,2,5,4,5,4,3,4,4,5,4,4,1,3,4.25,3.933333333,5,2
1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,3,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,2,4,5,2,4.75,3.75,3.6,5,NA
1049,NA,NA,NA,NA,5,NA,NA,NA,NA,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,4,4
1050,NA,NA,NA,NA,4,NA,NA,NA,NA,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,5,3,3,4,3,1,3.5,3.25,3.866666667,4,4
1051,NA,NA,NA,NA,2,NA,NA,NA,NA,2,4,4,4,4,5,5,4,4,2,5,5,5,4,5,5,2,4,3,2,4,3,3,2,2,4,3,4,5,NA
1052,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053,2,0,1,2,NA,0,0,2,2,NA,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,2,5,4.75,4.8,3,3
1054,NA,NA,2,3,3,NA,NA,4,4,5,4,4,3,3,5,5,4,4,5,5,5,5,5,5,4,5,5,4,4,4,4,3,4,1,3.5,3.75,4.666666667,3,3
1055,NA,1,1,1,2,NA,NA,NA,4,NA,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,4,3,1,1,4,4,3,3,2,3,3.5,2.666666667,2,NA
1056,4,1,2,4,4,3,NA,3,NA,NA,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,3,5,1,3,3,3,2,3,2,3,2.75,4.466666667,2,NA
1057,NA,0,0,0,0,NA,0,0,0,0,3,2,4,3,5,5,4,5,5,0,5,4,4,4,4,0,5,4,4,2,4,4,5,1,3,3.75,3.866666667,2,3
1058,NA,0,NA,3,3,NA,0,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1059,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2
1060,NA,0,NA,2,0,NA,0,0,4,5,4,4,3,2,4,4,2,3,4,4,3,3,4,4,3,3,4,2,3,2,3,2,3,2,3.25,2.5,3.333333333,NA,NA
1061,NA,1,1,2,2,NA,1,1,3,2,4,5,3,3,5,5,4,4,4,5,5,5,5,5,4,5,5,2,5,5,4,4,5,2,3.75,4.5,4.533333333,NA,NA
1062,NA,NA,3,NA,5,NA,NA,1,NA,1,4,4,2,1,5,5,4,4,4,2,5,4,4,3,5,4,5,3,4,4,4,4,4,1,2.75,4,4.066666667,3,NA
1063,NA,NA,3,3,3,NA,NA,3,3,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4.75,5,5,3,NA
1064,NA,0,0,2,1,NA,0,0,1,NA,4,4,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,3,2,5,5,4,4,2,4,4.5,4.466666667,4,3
1065,NA,NA,NA,5,2,NA,NA,NA,5,2,4,4,4,4,4,4,4,4,2,5,4,2,4,4,5,4,4,2,3,5,4,4,3,1,4,4,3.666666667,7,6
1066,2,2,2,2,0,2,0,0,1,1,5,4,4,3,5,5,3,5,4,5,5,4,5,5,5,5,5,4,4,5,5,5,4,2,4,4.75,4.6,5,5
1067,NA,NA,NA,NA,3,NA,NA,NA,NA,5,3,3,2,2,5,5,3,4,5,5,5,2,4,5,5,5,5,3,5,3,4,3,3,1,2.5,3.25,4.4,NA,NA
1068,NA,NA,0,0,1,NA,NA,2,3,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,4,5,5,4,1,5,4.5,4.666666667,1,NA
1069,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA
1070,1,1,0,0,2,1,2,1,2,3,5,5,5,5,4,4,3,5,4,4,5,5,4,3,4,5,4,5,5,5,4,4,4,1,5,4.25,4.266666667,3,6
1071,NA,NA,3,3,2,NA,NA,0,1,1,4,4,4,4,5,5,4,4,4,5,5,1,5,4,4,4,4,4,3,3,3,4,3,1,4,3.25,4.066666667,3,6
1072,1,1,0,2,0,1,2,0,3,2,4,2,3,2,4,3,5,3,5,4,5,2,4,4,4,4,4,3,4,4,4,3,5,1,2.75,4,3.866666667,3,5
1073,NA,2,1,3,2,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1
1074,2,1,3,4,4,3,0,0,NA,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,1,2,4,2,2,5,2.25,4.866666667,4,4
1075,NA,1,1,1,0,NA,1,1,1,0,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,4,2,4.75,4.75,4.666666667,3,4
1076,NA,NA,NA,2,0,NA,NA,NA,2,0,4,4,3,1,4,4,4,3,4,4,5,4,5,5,4,4,4,3,3,5,5,5,3,1,3,4.5,4,1,3
1077,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1
1078,0,0,0,2,2,1,0,0,3,1,5,4,5,5,5,5,5,5,5,4,5,5,4,5,3,0,5,4,4,4,5,4,5,2,4.75,4.5,4.266666667,3,3
