FAMID,cbmom_1,cbmom_2,cbmom_3,cbmom_4,cbmom_5,cbdad_1,cbdad_2,cbdad_3,cbdad_4,cbdad_5,DID31_21,DID15_21,DID27_21,DID33_21,LDS01_21,LDS02_21,LDS03_21,LDS04_21,LDS05_21,LDS06_21,LDS07_21,LDS08_21,LDS09_21,LDS10_21,LDS11_21,LDS12_21,LDS13_21,LDS14_21,LDS15_21,PSS01R_21,PSS02_21,PSS03_21,PSS04R_21,SEX2,purpose_21,stress_21,lifesat_21,MEDUC2,MPEDUC2
1136,NA,2,2,2,1,NA,3,2,2,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4.5,4.25,5,3,2
1137,NA,NA,NA,NA,3,NA,NA,NA,NA,2,4,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,4,4,2,3.75,4.25,4.866666667,3,2
1138,NA,NA,NA,4,3,NA,NA,NA,2,1,4,3,3,3,5,5,4,4,3,5,5,5,5,5,5,5,5,2,5,4,4,4,4,2,3.25,4,4.533333333,3,NA
1139,NA,4,NA,3,2,NA,4,NA,3,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,NA,3,5,4.866666667,2,NA
1140,NA,1,0,3,0,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA
1143,NA,NA,NA,NA,2,NA,NA,NA,NA,2,5,4,4,5,0,2,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,3,4,1,4.5,4,4.333333333,6,7
1144,NA,NA,NA,0,1,NA,NA,NA,0,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,4,5,5,5,5,5,1,4.75,5,4.6,2,2
1145,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,2,3,4,3,2,4,5,5,5,2,0,5,5,0,4,1,3,3,2,3,3,1,2.5,2.75,3.2,3,4
1146,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,5,5,5,5,4,4,5,5,4,5,5,5,5,3,5,2,4,4,4,2,NA,3.5,4.666666667,4,NA
1147,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,5
1148,NA,NA,1,1,0,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3
1149,NA,2,5,3,2,NA,2,2,3,2,5,3,5,5,3,2,3,4,4,3,3,NA,2,4,4,3,3,4,4,5,5,5,3,1,4.5,4.5,3.285714286,2,2
1150,NA,NA,NA,0,1,NA,NA,NA,2,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,2,3,2,4,3,4.8,1,1
1151,NA,NA,NA,NA,0,NA,NA,NA,NA,2,5,5,5,4,3,3,1,1,1,1,2,1,2,1,1,1,1,1,2,2,3,2,2,2,4.75,2.25,1.466666667,4,3
1152,NA,3,0,2,1,NA,5,2,2,7,3,3,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,1,4,5,4,4,5,1,3.25,4.5,3.933333333,4,2
1153,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,3,2,2,5,5,5,5,5,5,5,4,4,5,3,3,4,4,5,4,4,4,3,1,2.25,3.75,4.466666667,3,3
1154,NA,NA,1,1,0,NA,NA,0,0,0,4,5,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,4,4,5,2,4,4.5,4.733333333,6,6
1155,NA,NA,1,1,2,NA,NA,1,1,2,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,2,5,4,5,5,4,2,4,4.5,4.666666667,7,3
1156,NA,0,1,0,0,NA,0,0,0,0,3,3,3,3,4,5,2,2,2,5,2,3,4,2,5,0,2,1,2,3,2,1,2,1,3,2,2.733333333,3,1
1157,NA,NA,NA,2,3,NA,NA,NA,2,3,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,2,3,3,4,3,3,1,4.5,3.25,4.533333333,6,7
1158,2,1,1,3,1,2,2,2,1,0,4,3,4,5,5,5,4,4,4,5,4,4,4,4,5,0,5,2,2,4,4,3,2,1,4,3.25,3.8,6,7
1159,NA,NA,NA,NA,0,NA,NA,NA,NA,0,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4.75,5,5,4,4
1160,4,NA,NA,NA,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1161,0,0,0,0,0,0,0,1,0,NA,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,2,3.75,2.75,4,3,2
1162,NA,1,0,1,1,NA,1,0,0,1,4,4,4,4,5,5,3,2,5,5,4,2,3,5,3,4,4,2,4,5,4,3,4,1,4,4,3.733333333,6,7
1163,NA,0,0,0,0,NA,1,1,NA,0,4,2,4,4,5,5,2,3,2,4,2,4,3,4,5,4,2,2,2,3,3,3,3,2,3.5,3,3.266666667,6,6
1164,NA,NA,0,2,0,NA,NA,2,6,3,4,4,3,4,5,4,4,4,2,5,5,5,5,5,5,5,5,2,3,4,4,4,4,1,3.75,4,4.266666667,4,3
1166,NA,NA,NA,1,2,NA,NA,NA,1,2,4,5,4,4,5,5,2,5,4,4,5,5,5,5,5,4,5,5,4,5,4,3,3,2,4.25,3.75,4.533333333,2,NA
1167,4,3,3,0,1,0,1,2,0,1,5,3,2,3,5,5,5,3,4,5,5,5,5,4,5,5,5,3,5,5,5,5,5,1,3.25,5,4.6,5,3
1168,1,1,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2
1169,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,3
1170,2,2,2,0,0,4,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,1
1171,1,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,2
1172,NA,NA,NA,NA,1,NA,NA,NA,NA,0,4,4,3,3,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4,2,3.5,3.75,4.733333333,NA,NA
1173,NA,NA,NA,NA,0,NA,NA,NA,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,2,4,4.5,4,NA,NA
1174,NA,NA,NA,3,2,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1175,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2
1176,NA,NA,0,0,0,NA,NA,1,0,0,4,3,4,5,4,5,5,5,4,5,5,4,5,5,5,2,5,4,4,4,4,5,5,2,4,4.5,4.466666667,5,3
1177,NA,2,0,1,0,NA,6,NA,2,0,5,2,5,5,4,4,4,3,2,4,4,2,4,5,5,4,4,4,3,3,4,3,3,2,4.25,3.25,3.733333333,2,NA
1178,NA,NA,NA,NA,3,NA,NA,NA,NA,5,3,2,4,3,3,4,2,2,3,4,3,4,3,5,1,2,4,1,4,1,3,2,1,2,3,1.75,3,NA,NA
1179,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,5,4,3,5,5,5,3,5,4,5,5,5,5,5,1,5,5,3,4,3,4,5,NA,4,4,4.4,NA,NA
1180,0,NA,3,0,4,0,NA,5,3,NA,1,3,1,3,2,2,2,2,3,2,2,3,2,2,3,3,3,1,3,1,2,2,1,NA,2,1.5,2.333333333,2,NA
1181,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,NA,NA,4,3,5,NA,NA,NA,4,NA,3,4,5,3,4,4,4,5,3,5,4,4,5,5,4,4,3,3,3,5,1,1,5,1,3.75,3,4,3,NA
1183,NA,NA,1,1,2,NA,NA,1,1,2,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,NA,3,5,1,NA
1184,NA,NA,2,1,1,NA,NA,NA,1,3,4,4,4,4,5,5,4,5,5,3,5,5,5,5,5,3,5,2,5,4,5,4,3,2,4,4,4.466666667,4,NA
1185,NA,NA,NA,0,0,NA,NA,NA,0,0,2,3,1,4,5,5,1,5,3,5,4,3,3,4,5,5,4,5,3,4,3,3,2,2,2.5,3,4,3,3
1186,NA,1,1,2,3,NA,1,1,1,1,4,2,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,4,4,2,2,3.5,3.25,4.8,NA,NA
1187,0,3,4,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA
1188,NA,3,1,0,1,NA,3,NA,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,4.733333333,4,2
1189,NA,NA,0,0,2,NA,NA,3,4,0,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,3,4,2,2,4,3,4.8,3,6
1190,NA,NA,3,2,2,NA,NA,0,1,0,3,3,2,2,4,4,2,3,2,5,4,4,3,3,2,5,2,3,1,3,3,5,4,2,2.5,3.75,3.133333333,6,3
1191,NA,1,0,1,1,NA,1,3,2,2,4,4,3,3,5,5,4,4,4,5,5,5,5,5,5,0,5,2,5,4,3,4,4,1,3.5,3.75,4.266666667,6,6
1192,NA,1,0,3,3,NA,1,2,2,3,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,2,4.25,3.5,5,4,2
1193,NA,NA,NA,NA,0,NA,NA,NA,NA,0,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,2,2,3.5,3,5,1,NA
1194,NA,0,1,3,3,NA,NA,1,3,5,4,3,4,4,3,3,3,3,4,3,4,4,3,3,0,3,5,1,4,3,4,4,3,1,3.75,3.5,3.066666667,5,6
1195,NA,1,0,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,2
1196,NA,NA,NA,NA,2,NA,NA,NA,NA,2,4,5,4,4,5,5,5,5,4,0,5,4,4,5,5,0,0,2,4,4,4,4,4,1,4.25,4,3.533333333,3,2
1197,NA,2,4,2,4,NA,2,2,3,5,4,1,5,3,5,5,5,5,4,3,5,3,4,5,5,2,5,4,3,5,1,3,5,2,3.25,3.5,4.2,2,NA
1198,NA,NA,1,1,2,NA,NA,0,1,2,5,4,5,4,4,3,1,2,2,5,3,3,4,2,2,4,2,1,3,3,3,2,2,2,4.5,2.5,2.733333333,6,7
1199,NA,0,0,0,1,NA,0,0,0,1,4,4,3,3,5,5,5,4,3,5,3,4,5,5,5,4,5,1,4,5,4,3,3,1,3.5,3.75,4.2,3,3
1200,NA,NA,NA,NA,3,NA,NA,NA,2,2,4,2,5,3,5,5,4,4,2,2,4,5,4,4,4,2,3,4,2,5,4,3,4,1,3.5,4,3.6,NA,NA
1201,NA,NA,1,4,4,NA,NA,1,NA,3,5,5,5,5,0,1,3,0,0,0,0,4,0,3,0,0,0,4,5,5,5,5,5,1,5,5,1.333333333,3,2
1202,NA,NA,0,1,1,NA,NA,0,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5
1203,NA,NA,NA,0,1,NA,NA,NA,0,1,5,5,5,5,5,5,5,5,4,5,0,4,5,5,5,5,5,3,5,4,4,4,4,1,5,4,4.4,2,3
1204,NA,1,0,2,2,NA,2,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,2
1205,NA,NA,NA,NA,2,NA,NA,NA,NA,0,4,3,4,4,5,5,5,5,5,5,5,4,4,4,3,3,3,3,5,3,3,3,3,1,3.75,3,4.266666667,3,2
1206,NA,NA,0,0,1,NA,NA,0,0,3,4,4,4,4,5,5,3,4,2,5,4,2,5,5,5,0,4,4,3,4,5,4,4,1,4,4.25,3.733333333,4,NA
1207,2,2,2,0,1,NA,1,0,0,0,4,4,4,3,4,4,4,3,2,5,4,3,2,4,3,4,3,2,1,2,3,3,3,2,3.75,2.75,3.2,5,6
1208,3,1,1,1,1,1,1,1,0,0,4,1,2,2,5,5,2,4,2,5,5,2,5,4,5,0,2,2,2,4,4,3,4,1,2.25,3.75,3.333333333,2,4
1209,2,1,1,0,1,3,2,2,0,1,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,3,3,2,4,3,3,2,3.75,3,4.066666667,3,4
1210,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1211,NA,NA,NA,3,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2
1212,NA,NA,NA,NA,1,NA,NA,NA,NA,0,5,5,3,3,5,5,5,4,5,5,5,4,5,5,5,4,5,4,4,5,5,4,5,1,4,4.75,4.666666667,1,6
1213,NA,2,0,3,2,NA,2,NA,3,2,5,4,4,4,5,5,5,5,4,4,5,5,3,5,5,4,4,3,3,4,3,4,4,2,4.25,3.75,4.333333333,2,3
1214,NA,NA,NA,1,1,NA,NA,NA,0,2,5,4,4,5,5,5,4,4,3,5,5,3,4,4,5,4,4,4,5,4,5,3,5,2,4.5,4.25,4.266666667,6,3
1215,NA,NA,NA,NA,3,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,3.25,4,2,2
1217,1,0,0,0,1,2,0,0,0,1,4,4,4,4,5,5,4,5,2,0,5,5,5,0,0,5,0,5,4,5,5,4,4,2,4,4.5,3.333333333,2,2
1218,NA,NA,2,1,0,NA,NA,2,1,1,2,2,2,1,3,2,1,1,2,2,2,1,4,3,4,3,3,1,2,2,3,2,3,1,1.75,2.5,2.266666667,4,3
1219,NA,2,1,2,3,NA,2,3,3,4,5,4,5,5,3,3,2,2,4,5,5,4,1,5,5,5,5,1,5,3,2,2,2,2,4.75,2.25,3.666666667,2,3
1220,NA,NA,NA,2,0,NA,NA,NA,2,0,4,5,3,4,5,5,3,4,4,5,5,5,3,5,5,5,5,2,4,5,5,4,4,1,4,4.5,4.333333333,5,5
1221,1,3,3,3,1,4,3,1,3,1,5,5,5,5,5,5,0,3,3,3,5,5,5,5,4,5,5,2,5,3,5,3,3,2,5,3.5,4,6,4
1222,NA,NA,NA,NA,1,NA,NA,NA,NA,1,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,NA,NA,NA,NA,2,4.25,NA,4.733333333,3,3
1223,NA,NA,0,3,1,NA,NA,0,3,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,2,2
1224,1,0,0,2,0,1,1,2,2,0,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,5,2,5,5,4.6,2,5
1225,NA,NA,NA,NA,2,NA,NA,NA,NA,1,4,5,4,5,4,4,5,5,4,4,4,2,2,2,2,2,2,1,4,2,5,2,2,1,4.5,2.75,3.133333333,6,4
1226,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3
1227,NA,0,0,2,3,NA,1,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,3
1228,NA,NA,NA,NA,4,NA,NA,NA,NA,1,4,4,3,3,5,4,0,3,4,5,5,4,5,5,5,5,5,2,5,3,4,5,3,2,3.5,3.75,4.133333333,3,NA
1229,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,3,4,3,5,5,5,4,4,4,5,5,5,3,3,3,4,4,3,4,5,4,4,1,3.5,4.25,4.133333333,2,NA
1230,3,3,0,2,1,0,3,0,2,1,4,4,4,4,0,0,5,5,5,5,5,0,4,5,5,0,5,3,3,5,5,5,4,2,4,4.75,3.333333333,2,3
1232,NA,NA,NA,3,2,NA,NA,NA,1,2,3,2,2,3,3,4,3,4,4,5,5,3,5,5,4,4,3,2,3,5,4,4,5,2,2.5,4.5,3.8,7,NA
1233,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3,3,3,5,4,3,3,3,3,5,5,4,5,5,5,5,3,2,3,3,3,3,1,3,3,4,3,NA
1234,NA,NA,NA,NA,0,NA,NA,NA,NA,2,5,5,5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,3,4,4,5,4,3,2,4.5,4,4.666666667,NA,NA
1235,NA,NA,NA,0,0,NA,NA,NA,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,4.933333333,3,NA
1236,NA,NA,0,0,0,NA,NA,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,4.933333333,4,4
1237,NA,NA,NA,4,2,NA,NA,NA,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,4,3.5,4,2,1
1238,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2,3,2,2,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,2,2.25,3.25,3,6,2
1239,3,NA,NA,2,2,4,NA,NA,2,2,3,4,4,3,3,3,2,3,3,5,3,3,2,3,3,3,2,2,3,5,1,1,2,NA,3.5,2.25,2.866666667,NA,NA
1240,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241,NA,3,0,2,3,NA,2,0,2,0,4,5,5,3,5,5,2,2,5,4,3,3,3,2,0,4,4,3,3,2,3,2,2,1,4.25,2.25,3.2,NA,NA
1242,NA,2,1,2,2,NA,4,4,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3.5,3.25,3,1,NA
1243,NA,NA,NA,NA,2,NA,NA,NA,NA,2,4,4,2,4,5,5,3,4,5,5,4,5,5,5,5,5,5,4,4,2,4,3,4,2,3.5,3.25,4.6,3,NA
1244,NA,NA,NA,NA,0,NA,NA,NA,NA,0,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,4,5,2,4.75,4.5,4.866666667,3,4
1245,1,1,1,NA,0,2,3,4,NA,1,5,5,5,5,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,5,1,5,5,2,5,4,0.8,2,2
1246,1,1,0,0,0,2,1,0,0,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,4,2
1247,NA,NA,NA,2,1,NA,NA,NA,3,3,4,4,4,4,5,5,5,4,4,4,5,3,4,4,5,4,5,4,4,4,4,4,4,1,4,4,4.333333333,5,5
1248,NA,NA,4,7,4,NA,NA,0,0,4,3,3,3,2,3,3,2,5,5,5,3,5,5,5,5,5,0,1,5,2,4,2,2,2,2.75,2.5,3.8,2,2
1249,NA,NA,NA,2,2,NA,NA,NA,1,1,4,4,1,4,5,4,2,4,5,5,5,5,5,4,4,1,5,3,5,3,4,3,2,2,3.25,3,4.133333333,6,6
1250,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,3,4,4,5,5,2,3,4,2,4,5,4,1,3,4,5,2,4,4,5,4,4,2,3.5,4.25,3.533333333,3,3
1252,NA,2,1,3,0,NA,1,NA,4,0,4,4,3,3,4,4,3,3,4,5,5,4,5,5,5,4,4,4,5,5,3,3,4,2,3.5,3.75,4.266666667,2,NA
1253,NA,NA,2,1,2,NA,NA,4,1,4,3,3,3,3,2,4,2,3,4,3,3,4,5,0,4,3,5,3,5,5,5,3,3,2,3,4,3.333333333,3,1
1254,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,NA,NA,NA,NA,2,NA,NA,NA,NA,2,4,4,4,4,5,5,2,5,5,5,3,5,5,3,3,5,5,2,3,4,5,3,4,1,4,4,4.066666667,4,4
1256,3,2,1,5,4,3,NA,1,6,2,3,3,3,3,4,4,0,3,5,4,4,4,4,4,4,4,4,4,4,5,1,3,5,1,3,3.5,3.733333333,3,NA
1257,NA,NA,NA,NA,0,NA,NA,NA,NA,0,4,3,3,2,4,4,4,3,4,5,3,3,2,4,5,5,4,2,4,3,2,3,3,2,3,2.75,3.733333333,2,3
1259,3,3,1,1,0,0,1,1,1,0,2,4,2,2,4,4,4,4,4,4,4,4,5,4,4,4,0,4,4,2,2,2,4,1,2.5,2.5,3.8,3,3
1261,NA,NA,NA,2,2,NA,NA,NA,2,6,5,5,3,4,5,5,0,3,5,5,2,5,2,5,1,4,5,1,4,2,5,2,2,1,4.25,2.75,3.466666667,3,NA
1262,0,0,0,0,1,1,0,0,0,1,5,4,5,4,4,4,4,5,3,4,5,5,5,0,5,4,3,3,3,5,5,4,4,2,4.5,4.5,3.8,6,1
1264,0,NA,2,2,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5
1265,0,0,0,0,0,0,0,0,0,3,5,5,4,1,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,3.75,5,4.866666667,3,NA
1266,3,0,0,1,0,5,3,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,2
1267,1,1,2,0,0,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,6
1268,1,0,1,1,1,0,1,4,2,3,4,4,3,4,5,5,5,5,3,5,5,5,5,5,5,5,5,2,3,5,5,5,3,1,3.75,4.5,4.533333333,4,6
1269,1,1,NA,1,0,1,0,NA,1,0,5,5,5,5,4,4,4,4,4,4,5,4,5,5,5,5,5,4,5,4,5,5,4,2,5,4.5,4.466666667,5,6
1270,0,1,1,0,1,0,1,1,0,0,4,5,4,4,5,5,5,4,4,5,5,5,5,5,5,3,4,5,4,5,5,5,5,2,4.25,5,4.6,2,2
1271,2,2,1,4,2,1,0,1,3,0,4,4,4,4,5,5,3,5,4,5,5,5,5,5,5,5,5,2,2,4,4,4,2,2,4,3.5,4.4,6,6
1272,3,2,0,0,1,4,3,3,5,4,4,5,4,2,5,5,5,5,5,4,4,5,5,2,5,3,4,4,4,2,4,4,4,1,3.75,3.5,4.333333333,3,3
1273,4,1,3,4,0,1,1,0,3,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,4,5,1,4,4.75,4.733333333,3,3
1274,NA,4,2,2,0,NA,2,1,2,0,3,3,3,3,5,5,4,5,4,4,4,4,1,4,4,5,5,3,4,3,5,3,3,1,3,3.5,4.066666667,6,6
1275,NA,1,1,2,0,NA,1,1,3,0,4,4,4,4,5,4,5,5,3,4,5,4,5,5,5,4,4,4,4,4,4,4,3,2,4,3.75,4.4,5,5
1276,NA,1,2,1,0,NA,1,0,1,0,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,2,1,5,3.25,4.866666667,1,NA
1278,NA,1,2,3,1,NA,0,1,3,1,3,3,3,3,5,5,3,3,4,0,3,1,0,4,4,3,2,3,3,4,3,3,4,1,3,3.5,2.866666667,4,6
1279,NA,0,1,2,2,NA,0,1,2,1,4,4,3,2,5,5,5,5,2,3,4,5,5,5,5,5,3,4,2,5,4,4,4,1,3.25,4.25,4.2,7,6
1283,NA,NA,1,3,1,NA,NA,1,2,1,3,3,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,2,1,3.5,3.5,4.733333333,3,5
1284,NA,NA,1,3,1,NA,NA,1,3,1,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,2,5,5,4.733333333,7,5
1285,NA,NA,NA,3,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,6
1288,NA,NA,NA,0,0,NA,NA,NA,0,0,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,2,5,4,5,4,4,2,4.25,4.25,4.466666667,4,3
1289,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,4
1290,NA,NA,NA,NA,2,NA,NA,NA,NA,4,4,4,4,4,5,5,4,5,4,5,5,5,4,4,5,5,4,4,4,4,5,4,4,2,4,4.25,4.533333333,5,4
1291,NA,NA,NA,3,3,NA,NA,NA,3,2,3,3,2,2,5,5,4,5,3,4,0,3,5,2,0,5,5,5,4,5,4,3,4,1,2.5,4,3.666666667,5,3
1292,NA,NA,NA,NA,4,NA,NA,NA,NA,0,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,2,3,1,4,2.5,4.066666667,3,6
1293,NA,NA,NA,NA,4,NA,NA,NA,NA,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,5,1,3,3,3,3,3
1294,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,4,3,3,4,4,3,3,4,2,4,4,4,5,4,3,4,4,4,4,4,4,3,2,3.25,3.75,3.733333333,3,6
